# E (eV)   ldos(E)   pdos(E)   
   8.635  0.216E+00  0.216E+00
   8.685  0.199E+00  0.199E+00
   8.735  0.179E+00  0.179E+00
   8.785  0.158E+00  0.158E+00
   8.835  0.139E+00  0.139E+00
   8.885  0.126E+00  0.126E+00
   8.935  0.116E+00  0.116E+00
   8.985  0.109E+00  0.109E+00
   9.035  0.106E+00  0.106E+00
   9.085  0.109E+00  0.109E+00
   9.135  0.115E+00  0.115E+00
   9.185  0.118E+00  0.118E+00
   9.235  0.113E+00  0.113E+00
   9.285  0.104E+00  0.104E+00
   9.335  0.952E-01  0.952E-01
   9.385  0.958E-01  0.958E-01
   9.435  0.107E+00  0.107E+00
   9.485  0.121E+00  0.121E+00
   9.535  0.127E+00  0.127E+00
   9.585  0.117E+00  0.117E+00
   9.635  0.992E-01  0.992E-01
   9.685  0.833E-01  0.833E-01
   9.735  0.770E-01  0.770E-01
   9.785  0.800E-01  0.800E-01
   9.835  0.883E-01  0.883E-01
   9.885  0.975E-01  0.975E-01
   9.935  0.104E+00  0.104E+00
   9.985  0.108E+00  0.108E+00
  10.035  0.109E+00  0.109E+00
  10.085  0.105E+00  0.105E+00
  10.135  0.970E-01  0.970E-01
  10.185  0.837E-01  0.837E-01
  10.235  0.697E-01  0.697E-01
  10.285  0.604E-01  0.604E-01
  10.335  0.587E-01  0.587E-01
  10.385  0.637E-01  0.637E-01
  10.435  0.725E-01  0.725E-01
  10.485  0.821E-01  0.821E-01
  10.535  0.896E-01  0.896E-01
  10.585  0.925E-01  0.925E-01
  10.635  0.890E-01  0.890E-01
  10.685  0.798E-01  0.798E-01
  10.735  0.694E-01  0.694E-01
  10.785  0.644E-01  0.644E-01
  10.835  0.680E-01  0.680E-01
  10.885  0.773E-01  0.773E-01
  10.935  0.853E-01  0.853E-01
  10.985  0.875E-01  0.875E-01
  11.035  0.856E-01  0.856E-01
  11.085  0.844E-01  0.844E-01
  11.135  0.867E-01  0.867E-01
  11.185  0.903E-01  0.903E-01
  11.235  0.909E-01  0.909E-01
  11.285  0.873E-01  0.873E-01
  11.335  0.818E-01  0.818E-01
  11.385  0.765E-01  0.765E-01
  11.435  0.711E-01  0.711E-01
  11.485  0.649E-01  0.649E-01
  11.535  0.589E-01  0.589E-01
  11.585  0.548E-01  0.548E-01
  11.635  0.524E-01  0.524E-01
  11.685  0.504E-01  0.504E-01
  11.735  0.501E-01  0.501E-01
  11.785  0.542E-01  0.542E-01
  11.835  0.643E-01  0.643E-01
  11.885  0.775E-01  0.775E-01
  11.935  0.890E-01  0.890E-01
  11.985  0.952E-01  0.952E-01
  12.035  0.958E-01  0.958E-01
  12.085  0.927E-01  0.927E-01
  12.135  0.879E-01  0.879E-01
  12.185  0.828E-01  0.828E-01
  12.235  0.777E-01  0.777E-01
  12.285  0.718E-01  0.718E-01
  12.335  0.648E-01  0.648E-01
  12.385  0.570E-01  0.570E-01
  12.435  0.491E-01  0.491E-01
  12.485  0.420E-01  0.420E-01
  12.535  0.371E-01  0.371E-01
  12.585  0.355E-01  0.355E-01
  12.635  0.361E-01  0.361E-01
  12.685  0.367E-01  0.367E-01
  12.735  0.364E-01  0.364E-01
  12.785  0.358E-01  0.358E-01
  12.835  0.365E-01  0.365E-01
  12.885  0.390E-01  0.390E-01
  12.935  0.426E-01  0.426E-01
  12.985  0.466E-01  0.466E-01
  13.035  0.510E-01  0.510E-01
  13.085  0.561E-01  0.561E-01
  13.135  0.621E-01  0.621E-01
  13.185  0.687E-01  0.687E-01
  13.235  0.752E-01  0.752E-01
  13.285  0.806E-01  0.806E-01
  13.335  0.829E-01  0.829E-01
  13.385  0.796E-01  0.796E-01
  13.435  0.706E-01  0.706E-01
  13.485  0.594E-01  0.594E-01
  13.535  0.498E-01  0.498E-01
  13.585  0.434E-01  0.434E-01
  13.635  0.401E-01  0.401E-01
  13.685  0.401E-01  0.401E-01
  13.735  0.439E-01  0.439E-01
  13.785  0.499E-01  0.499E-01
  13.835  0.549E-01  0.549E-01
  13.885  0.562E-01  0.562E-01
  13.935  0.531E-01  0.531E-01
  13.985  0.473E-01  0.473E-01
  14.035  0.412E-01  0.412E-01
  14.085  0.366E-01  0.366E-01
  14.135  0.339E-01  0.339E-01
  14.185  0.326E-01  0.326E-01
  14.235  0.322E-01  0.322E-01
  14.285  0.322E-01  0.322E-01
  14.335  0.333E-01  0.333E-01
  14.385  0.375E-01  0.375E-01
  14.435  0.447E-01  0.447E-01
  14.485  0.524E-01  0.524E-01
  14.535  0.573E-01  0.573E-01
  14.585  0.578E-01  0.578E-01
  14.635  0.549E-01  0.549E-01
  14.685  0.505E-01  0.505E-01
  14.735  0.453E-01  0.453E-01
  14.785  0.394E-01  0.394E-01
  14.835  0.335E-01  0.335E-01
  14.885  0.297E-01  0.297E-01
  14.935  0.299E-01  0.299E-01
  14.985  0.336E-01  0.336E-01
  15.035  0.383E-01  0.383E-01
  15.085  0.419E-01  0.419E-01
  15.135  0.436E-01  0.436E-01
  15.185  0.428E-01  0.428E-01
  15.235  0.391E-01  0.391E-01
  15.285  0.337E-01  0.337E-01
  15.335  0.287E-01  0.287E-01
  15.385  0.249E-01  0.249E-01
  15.435  0.223E-01  0.223E-01
  15.485  0.212E-01  0.212E-01
  15.535  0.219E-01  0.219E-01
  15.585  0.238E-01  0.238E-01
  15.635  0.258E-01  0.258E-01
  15.685  0.273E-01  0.273E-01
  15.735  0.289E-01  0.289E-01
  15.785  0.309E-01  0.309E-01
  15.835  0.326E-01  0.326E-01
  15.885  0.326E-01  0.326E-01
  15.935  0.305E-01  0.305E-01
  15.985  0.276E-01  0.276E-01
  16.035  0.260E-01  0.260E-01
  16.085  0.272E-01  0.272E-01
  16.135  0.309E-01  0.309E-01
  16.185  0.350E-01  0.350E-01
  16.235  0.374E-01  0.374E-01
  16.285  0.381E-01  0.381E-01
  16.335  0.382E-01  0.382E-01
  16.385  0.381E-01  0.381E-01
  16.435  0.362E-01  0.362E-01
  16.485  0.314E-01  0.314E-01
  16.535  0.251E-01  0.251E-01
  16.585  0.202E-01  0.202E-01
  16.635  0.179E-01  0.179E-01
  16.685  0.173E-01  0.173E-01
  16.735  0.170E-01  0.170E-01
  16.785  0.161E-01  0.161E-01
  16.835  0.155E-01  0.155E-01
  16.885  0.158E-01  0.158E-01
  16.935  0.169E-01  0.169E-01
  16.985  0.180E-01  0.180E-01
  17.035  0.187E-01  0.187E-01
  17.085  0.195E-01  0.195E-01
  17.135  0.204E-01  0.204E-01
  17.185  0.209E-01  0.209E-01
  17.235  0.205E-01  0.205E-01
  17.285  0.197E-01  0.197E-01
  17.335  0.195E-01  0.195E-01
  17.385  0.201E-01  0.201E-01
  17.435  0.209E-01  0.209E-01
  17.485  0.215E-01  0.215E-01
  17.535  0.227E-01  0.227E-01
  17.585  0.258E-01  0.258E-01
  17.635  0.303E-01  0.303E-01
  17.685  0.343E-01  0.343E-01
  17.735  0.355E-01  0.355E-01
  17.785  0.328E-01  0.328E-01
  17.835  0.269E-01  0.269E-01
  17.885  0.199E-01  0.199E-01
  17.935  0.141E-01  0.141E-01
  17.985  0.107E-01  0.107E-01
  18.035  0.959E-02  0.959E-02
  18.085  0.103E-01  0.103E-01
  18.135  0.118E-01  0.118E-01
  18.185  0.133E-01  0.133E-01
  18.235  0.143E-01  0.143E-01
  18.285  0.148E-01  0.148E-01
  18.335  0.153E-01  0.153E-01
  18.385  0.156E-01  0.156E-01
  18.435  0.155E-01  0.155E-01
  18.485  0.153E-01  0.153E-01
  18.535  0.156E-01  0.156E-01
  18.585  0.167E-01  0.167E-01
  18.635  0.180E-01  0.180E-01
  18.685  0.179E-01  0.179E-01
  18.735  0.160E-01  0.160E-01
  18.785  0.137E-01  0.137E-01
  18.835  0.128E-01  0.128E-01
  18.885  0.143E-01  0.143E-01
  18.935  0.176E-01  0.176E-01
  18.985  0.218E-01  0.218E-01
  19.035  0.257E-01  0.257E-01
  19.085  0.279E-01  0.279E-01
  19.135  0.270E-01  0.270E-01
  19.185  0.233E-01  0.233E-01
  19.235  0.185E-01  0.185E-01
  19.285  0.145E-01  0.145E-01
  19.335  0.118E-01  0.118E-01
  19.385  0.100E-01  0.100E-01
  19.435  0.877E-02  0.877E-02
  19.485  0.763E-02  0.763E-02
  19.535  0.652E-02  0.652E-02
  19.585  0.542E-02  0.542E-02
  19.635  0.450E-02  0.450E-02
  19.685  0.396E-02  0.396E-02
  19.735  0.378E-02  0.378E-02
  19.785  0.373E-02  0.373E-02
  19.835  0.354E-02  0.354E-02
  19.885  0.316E-02  0.316E-02
  19.935  0.275E-02  0.275E-02
  19.985  0.268E-02  0.268E-02
  20.035  0.315E-02  0.315E-02
