# E (eV)   ldos(E)   pdos(E)    pdos(E)    pdos(E)   
   8.585  0.474E+00  0.158E+00  0.158E+00  0.158E+00
   8.635  0.474E+00  0.158E+00  0.158E+00  0.158E+00
   8.685  0.455E+00  0.152E+00  0.152E+00  0.152E+00
   8.735  0.422E+00  0.141E+00  0.141E+00  0.141E+00
   8.785  0.386E+00  0.129E+00  0.129E+00  0.129E+00
   8.835  0.357E+00  0.119E+00  0.119E+00  0.119E+00
   8.885  0.339E+00  0.113E+00  0.113E+00  0.113E+00
   8.935  0.328E+00  0.109E+00  0.109E+00  0.109E+00
   8.985  0.322E+00  0.107E+00  0.107E+00  0.107E+00
   9.035  0.325E+00  0.108E+00  0.108E+00  0.108E+00
   9.085  0.341E+00  0.114E+00  0.114E+00  0.114E+00
   9.135  0.362E+00  0.121E+00  0.121E+00  0.121E+00
   9.185  0.373E+00  0.124E+00  0.124E+00  0.124E+00
   9.235  0.374E+00  0.125E+00  0.125E+00  0.125E+00
   9.285  0.381E+00  0.127E+00  0.127E+00  0.127E+00
   9.335  0.420E+00  0.140E+00  0.140E+00  0.140E+00
   9.385  0.504E+00  0.168E+00  0.168E+00  0.168E+00
   9.435  0.617E+00  0.206E+00  0.206E+00  0.206E+00
   9.485  0.713E+00  0.238E+00  0.238E+00  0.238E+00
   9.535  0.751E+00  0.250E+00  0.250E+00  0.250E+00
   9.585  0.723E+00  0.241E+00  0.241E+00  0.241E+00
   9.635  0.660E+00  0.220E+00  0.220E+00  0.220E+00
   9.685  0.599E+00  0.200E+00  0.200E+00  0.200E+00
   9.735  0.559E+00  0.186E+00  0.186E+00  0.186E+00
   9.785  0.536E+00  0.179E+00  0.179E+00  0.179E+00
   9.835  0.517E+00  0.172E+00  0.172E+00  0.172E+00
   9.885  0.497E+00  0.166E+00  0.166E+00  0.166E+00
   9.935  0.480E+00  0.160E+00  0.160E+00  0.160E+00
   9.985  0.472E+00  0.157E+00  0.157E+00  0.157E+00
  10.035  0.477E+00  0.159E+00  0.159E+00  0.159E+00
  10.085  0.481E+00  0.160E+00  0.160E+00  0.160E+00
  10.135  0.471E+00  0.157E+00  0.157E+00  0.157E+00
  10.185  0.439E+00  0.146E+00  0.146E+00  0.146E+00
  10.235  0.402E+00  0.134E+00  0.134E+00  0.134E+00
  10.285  0.381E+00  0.127E+00  0.127E+00  0.127E+00
  10.335  0.385E+00  0.128E+00  0.128E+00  0.128E+00
  10.385  0.394E+00  0.131E+00  0.131E+00  0.131E+00
  10.435  0.390E+00  0.130E+00  0.130E+00  0.130E+00
  10.485  0.372E+00  0.124E+00  0.124E+00  0.124E+00
  10.535  0.353E+00  0.118E+00  0.118E+00  0.118E+00
  10.585  0.345E+00  0.115E+00  0.115E+00  0.115E+00
